============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
23909: E[0:03:17]-R[0:03:35]: Return=-61.00, Steps=26, Features = 100
24044: E[0:03:19]-R[0:03:34]: Return=-35.00, Steps=10, Features = 100
24177: E[0:03:20]-R[0:03:33]: Return=44.00, Steps=12, Features = 100
24333: E[0:03:21]-R[0:03:32]: Return=-8.00, Steps=18, Features = 100
24471: E[0:03:22]-R[0:03:31]: Return=-89.00, Steps=32, Features = 101
24597: E[0:03:23]-R[0:03:30]: Return=-118.00, Steps=51, Features = 101
24722: E[0:03:24]-R[0:03:29]: Return=-75.00, Steps=25, Features = 101
24825: E[0:03:25]-R[0:03:28]: Return=-62.00, Steps=17, Features = 101
24985: E[0:03:26]-R[0:03:27]: Return=-91.00, Steps=38, Features = 101
25114: E[0:03:27]-R[0:03:26]: Return=38.00, Steps=32, Features = 101
25250: E[0:03:29]-R[0:03:24]: Return=-79.00, Steps=35, Features = 101
25383: E[0:03:30]-R[0:03:23]: Return=-87.00, Steps=16, Features = 102
25537: E[0:03:31]-R[0:03:22]: Return=-21.00, Steps=13, Features = 102
25725: E[0:03:32]-R[0:03:20]: Return=-90.00, Steps=41, Features = 104
25870: E[0:03:33]-R[0:03:19]: Return=-61.00, Steps=63, Features = 104
26014: E[0:03:34]-R[0:03:18]: Return=-32.00, Steps=61, Features = 104
26177: E[0:03:35]-R[0:03:16]: Return=-15.00, Steps=53, Features = 104
26325: E[0:03:36]-R[0:03:15]: Return=25.00, Steps=10, Features = 105
26483: E[0:03:38]-R[0:03:13]: Return=-80.00, Steps=28, Features = 105
26642: E[0:03:39]-R[0:03:12]: Return=-60.00, Steps=15, Features = 105
26815: E[0:03:40]-R[0:03:10]: Return=-14.00, Steps=59, Features = 105
26923: E[0:03:41]-R[0:03:10]: Return=-84.00, Steps=15, Features = 106
