============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/6-6-result.txt
Max Steps: 		200000
Performance Checks:	10
62600: E[0:04:57]-R[0:10:52]: Return=115.75, Steps=200, Features = 32
62800: E[0:04:58]-R[0:10:51]: Return=233.75, Steps=200, Features = 32
63200: E[0:05:00]-R[0:10:49]: Return=131.50, Steps=200, Features = 32
63600: E[0:05:02]-R[0:10:48]: Return=215.50, Steps=200, Features = 32
63800: E[0:05:03]-R[0:10:47]: Return=137.25, Steps=200, Features = 32
64200: E[0:05:05]-R[0:10:45]: Return=88.25, Steps=200, Features = 32
64400: E[0:05:06]-R[0:10:45]: Return=82.00, Steps=200, Features = 32
64800: E[0:05:08]-R[0:10:43]: Return=104.00, Steps=200, Features = 32
65000: E[0:05:09]-R[0:10:42]: Return=134.50, Steps=200, Features = 32
65400: E[0:05:11]-R[0:10:40]: Return=71.25, Steps=200, Features = 32
65800: E[0:05:13]-R[0:10:38]: Return=173.25, Steps=200, Features = 32
66200: E[0:05:15]-R[0:10:36]: Return=162.50, Steps=200, Features = 32
66600: E[0:05:17]-R[0:10:34]: Return=153.75, Steps=200, Features = 32
67000: E[0:05:19]-R[0:10:33]: Return=86.00, Steps=200, Features = 32
67200: E[0:05:20]-R[0:10:32]: Return=130.25, Steps=200, Features = 32
67600: E[0:05:22]-R[0:10:30]: Return=153.50, Steps=200, Features = 32
67800: E[0:05:23]-R[0:10:30]: Return=169.75, Steps=200, Features = 32
68000: E[0:05:24]-R[0:10:29]: Return=60.00, Steps=200, Features = 32
68200: E[0:05:25]-R[0:10:28]: Return=136.50, Steps=200, Features = 32
68600: E[0:05:27]-R[0:10:26]: Return=106.00, Steps=200, Features = 32
69000: E[0:05:29]-R[0:10:24]: Return=115.50, Steps=200, Features = 32
69400: E[0:05:30]-R[0:10:22]: Return=227.00, Steps=200, Features = 32
69600: E[0:05:32]-R[0:10:21]: Return=196.25, Steps=200, Features = 32
69800: E[0:05:33]-R[0:10:20]: Return=96.25, Steps=200, Features = 32
70000: E[0:05:34]-R[0:10:20]: Return=79.00, Steps=200, Features = 32
70200: E[0:05:35]-R[0:10:19]: Return=218.00, Steps=200, Features = 32
70600: E[0:05:37]-R[0:10:17]: Return=120.25, Steps=200, Features = 32
70800: E[0:05:38]-R[0:10:16]: Return=142.50, Steps=200, Features = 32
71200: E[0:05:40]-R[0:10:14]: Return=95.50, Steps=200, Features = 32
71600: E[0:05:41]-R[0:10:12]: Return=90.00, Steps=200, Features = 32
71800: E[0:05:42]-R[0:10:11]: Return=151.75, Steps=200, Features = 32
72200: E[0:05:45]-R[0:10:10]: Return=134.00, Steps=200, Features = 32
72400: E[0:05:46]-R[0:10:09]: Return=181.50, Steps=200, Features = 32
72600: E[0:05:47]-R[0:10:08]: Return=158.00, Steps=200, Features = 32
73000: E[0:05:48]-R[0:10:06]: Return=145.00, Steps=200, Features = 32
73400: E[0:05:50]-R[0:10:04]: Return=202.25, Steps=200, Features = 32
73800: E[0:05:52]-R[0:10:02]: Return=89.25, Steps=200, Features = 32
74000: E[0:05:53]-R[0:10:01]: Return=216.50, Steps=200, Features = 32
74400: E[0:05:55]-R[0:10:00]: Return=147.75, Steps=200, Features = 32
74600: E[0:05:56]-R[0:09:59]: Return=137.75, Steps=200, Features = 32
75000: E[0:05:58]-R[0:09:57]: Return=113.75, Steps=200, Features = 32
75400: E[0:06:00]-R[0:09:55]: Return=132.50, Steps=200, Features = 32
75800: E[0:06:02]-R[0:09:53]: Return=123.25, Steps=200, Features = 32
76000: E[0:06:03]-R[0:09:52]: Return=184.50, Steps=200, Features = 32
76400: E[0:06:05]-R[0:09:50]: Return=144.75, Steps=200, Features = 32
76800: E[0:06:07]-R[0:09:48]: Return=173.25, Steps=200, Features = 32
77000: E[0:06:08]-R[0:09:47]: Return=144.50, Steps=200, Features = 32
77200: E[0:06:09]-R[0:09:46]: Return=167.25, Steps=200, Features = 32
77600: E[0:06:10]-R[0:09:44]: Return=163.75, Steps=200, Features = 32
78000: E[0:06:12]-R[0:09:43]: Return=180.50, Steps=200, Features = 32
78400: E[0:06:15]-R[0:09:41]: Return=152.50, Steps=200, Features = 32
78600: E[0:06:16]-R[0:09:40]: Return=119.25, Steps=200, Features = 32
79000: E[0:06:17]-R[0:09:38]: Return=137.75, Steps=200, Features = 32
79400: E[0:06:19]-R[0:09:36]: Return=143.50, Steps=200, Features = 32
79800: E[0:06:22]-R[0:09:35]: Return=196.25, Steps=200, Features = 32
80000 >>> E[0:06:23]-R[0:09:34]: Return=148.00, Steps=200, Features = 32
80200: E[0:06:24]-R[0:09:34]: Return=100.75, Steps=200, Features = 32
80600: E[0:06:26]-R[0:09:32]: Return=123.25, Steps=200, Features = 32
81000: E[0:06:28]-R[0:09:30]: Return=193.50, Steps=200, Features = 32
81200: E[0:06:29]-R[0:09:29]: Return=134.00, Steps=200, Features = 32
81600: E[0:06:31]-R[0:09:27]: Return=181.75, Steps=200, Features = 32
82000: E[0:06:33]-R[0:09:25]: Return=140.00, Steps=200, Features = 32
82400: E[0:06:35]-R[0:09:23]: Return=127.75, Steps=200, Features = 32
82800: E[0:06:37]-R[0:09:22]: Return=114.00, Steps=200, Features = 32
83200: E[0:06:39]-R[0:09:19]: Return=158.00, Steps=200, Features = 32
83600: E[0:06:40]-R[0:09:17]: Return=196.50, Steps=200, Features = 32
84000: E[0:06:42]-R[0:09:15]: Return=95.50, Steps=200, Features = 32
84400: E[0:06:44]-R[0:09:13]: Return=139.75, Steps=200, Features = 32
84600: E[0:06:45]-R[0:09:12]: Return=190.50, Steps=200, Features = 32
85000: E[0:06:47]-R[0:09:10]: Return=112.00, Steps=200, Features = 32
85200: E[0:06:48]-R[0:09:10]: Return=225.00, Steps=200, Features = 32
85600: E[0:06:50]-R[0:09:08]: Return=193.00, Steps=200, Features = 32
86000: E[0:06:52]-R[0:09:05]: Return=171.00, Steps=200, Features = 32
86400: E[0:06:53]-R[0:09:04]: Return=134.00, Steps=200, Features = 32
