============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	45.000
Batch Threshold:		45.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-45/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
19675: E[0:04:16]-R[0:06:34]: Return=-37.00, Steps=12, Features = 1730
19735: E[0:04:17]-R[0:06:34]: Return=-85.00, Steps=23, Features = 1734
19791: E[0:04:18]-R[0:06:34]: Return=9.00, Steps=10, Features = 1741
19867: E[0:04:19]-R[0:06:33]: Return=1.00, Steps=12, Features = 1742
19927: E[0:04:20]-R[0:06:33]: Return=-34.00, Steps=12, Features = 1747
19988: E[0:04:21]-R[0:06:32]: Return=-19.00, Steps=12, Features = 1751
20000 >>> E[0:04:22]-R[0:06:32]: Return=-37.00, Steps=12, Features = 1751
20050: E[0:04:23]-R[0:06:32]: Return=-34.00, Steps=12, Features = 1761
20106: E[0:04:24]-R[0:06:32]: Return=-69.00, Steps=13, Features = 1766
20199: E[0:04:25]-R[0:06:31]: Return=-35.00, Steps=27, Features = 1766
20282: E[0:04:26]-R[0:06:30]: Return=-52.00, Steps=12, Features = 1767
20333: E[0:04:27]-R[0:06:30]: Return=-83.00, Steps=16, Features = 1771
20393: E[0:04:28]-R[0:06:29]: Return=-14.00, Steps=60, Features = 1771
20462: E[0:04:29]-R[0:06:29]: Return=-63.00, Steps=19, Features = 1777
20552: E[0:04:31]-R[0:06:28]: Return=-37.00, Steps=30, Features = 1782
20613: E[0:04:32]-R[0:06:28]: Return=-19.00, Steps=14, Features = 1783
20685: E[0:04:33]-R[0:06:27]: Return=-53.00, Steps=12, Features = 1789
20753: E[0:04:34]-R[0:06:27]: Return=-62.00, Steps=15, Features = 1798
20818: E[0:04:36]-R[0:06:26]: Return=-11.00, Steps=10, Features = 1805
20877: E[0:04:37]-R[0:06:26]: Return=-37.00, Steps=23, Features = 1811
20963: E[0:04:39]-R[0:06:26]: Return=-41.00, Steps=37, Features = 1812
21028: E[0:04:40]-R[0:06:25]: Return=-37.00, Steps=10, Features = 1813
21106: E[0:04:41]-R[0:06:24]: Return=-102.00, Steps=38, Features = 1816
21164: E[0:04:42]-R[0:06:24]: Return=-49.00, Steps=21, Features = 1820
21263: E[0:04:43]-R[0:06:23]: Return=-62.00, Steps=54, Features = 1829
21324: E[0:04:45]-R[0:06:23]: Return=1.00, Steps=11, Features = 1833
21380: E[0:04:46]-R[0:06:23]: Return=-18.00, Steps=35, Features = 1835
21423: E[0:04:47]-R[0:06:23]: Return=-35.00, Steps=10, Features = 1841
21480: E[0:04:48]-R[0:06:22]: Return=-15.00, Steps=10, Features = 1844
21571: E[0:04:49]-R[0:06:21]: Return=6.00, Steps=10, Features = 1850
21632: E[0:04:50]-R[0:06:20]: Return=-77.00, Steps=12, Features = 1856
21704: E[0:04:51]-R[0:06:20]: Return=8.00, Steps=29, Features = 1863
21789: E[0:04:53]-R[0:06:19]: Return=-72.00, Steps=25, Features = 1872
21870: E[0:04:54]-R[0:06:18]: Return=-62.00, Steps=43, Features = 1873
21914: E[0:04:55]-R[0:06:18]: Return=-41.00, Steps=44, Features = 1875
21953: E[0:04:56]-R[0:06:19]: Return=-56.00, Steps=20, Features = 1876
22001: E[0:04:57]-R[0:06:18]: Return=-35.00, Steps=10, Features = 1878
22069: E[0:04:58]-R[0:06:18]: Return=-52.00, Steps=18, Features = 1880
22138: E[0:05:00]-R[0:06:17]: Return=1.00, Steps=11, Features = 1885
22226: E[0:05:01]-R[0:06:16]: Return=24.00, Steps=26, Features = 1888
22329: E[0:05:02]-R[0:06:15]: Return=-74.00, Steps=30, Features = 1889
22401: E[0:05:04]-R[0:06:14]: Return=-54.00, Steps=10, Features = 1892
22472: E[0:05:05]-R[0:06:13]: Return=-10.00, Steps=10, Features = 1894
22529: E[0:05:06]-R[0:06:13]: Return=-31.00, Steps=13, Features = 1895
22588: E[0:05:07]-R[0:06:12]: Return=23.00, Steps=19, Features = 1895
22663: E[0:05:08]-R[0:06:11]: Return=-39.00, Steps=26, Features = 1903
22709: E[0:05:09]-R[0:06:11]: Return=-76.00, Steps=16, Features = 1908
22778: E[0:05:10]-R[0:06:11]: Return=40.00, Steps=11, Features = 1913
22836: E[0:05:11]-R[0:06:10]: Return=1.00, Steps=12, Features = 1917
22905: E[0:05:12]-R[0:06:10]: Return=-69.00, Steps=11, Features = 1928
22963: E[0:05:14]-R[0:06:09]: Return=6.00, Steps=11, Features = 1932
23036: E[0:05:15]-R[0:06:08]: Return=-6.00, Steps=25, Features = 1933
23112: E[0:05:16]-R[0:06:08]: Return=-94.00, Steps=22, Features = 1938
23162: E[0:05:17]-R[0:06:08]: Return=-92.00, Steps=20, Features = 1940
23248: E[0:05:18]-R[0:06:06]: Return=-75.00, Steps=10, Features = 1943
23303: E[0:05:19]-R[0:06:06]: Return=-46.00, Steps=20, Features = 1945
23400: E[0:05:21]-R[0:06:05]: Return=-91.00, Steps=47, Features = 1950
23456: E[0:05:22]-R[0:06:04]: Return=-60.00, Steps=14, Features = 1953
23532: E[0:05:23]-R[0:06:03]: Return=-36.00, Steps=12, Features = 1956
23656: E[0:05:25]-R[0:06:01]: Return=-59.00, Steps=82, Features = 1958
23694: E[0:05:26]-R[0:06:02]: Return=5.00, Steps=10, Features = 1963
23759: E[0:05:27]-R[0:06:01]: Return=-86.00, Steps=35, Features = 1965
23832: E[0:05:28]-R[0:06:00]: Return=45.00, Steps=73, Features = 1966
23901: E[0:05:29]-R[0:05:59]: Return=-16.00, Steps=10, Features = 1974
23985: E[0:05:30]-R[0:05:58]: Return=-59.00, Steps=32, Features = 1984
24082: E[0:05:32]-R[0:05:57]: Return=-94.00, Steps=74, Features = 1985
24148: E[0:05:33]-R[0:05:57]: Return=-35.00, Steps=66, Features = 1986
24216: E[0:05:35]-R[0:05:56]: Return=-127.00, Steps=43, Features = 1986
24307: E[0:05:36]-R[0:05:55]: Return=-84.00, Steps=35, Features = 1992
24388: E[0:05:37]-R[0:05:54]: Return=-53.00, Steps=25, Features = 1999
24463: E[0:05:38]-R[0:05:53]: Return=23.00, Steps=12, Features = 2005
24541: E[0:05:39]-R[0:05:52]: Return=-80.00, Steps=34, Features = 2005
24614: E[0:05:40]-R[0:05:51]: Return=-69.00, Steps=30, Features = 2006
24695: E[0:05:42]-R[0:05:50]: Return=-55.00, Steps=19, Features = 2010
