============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
31540: E[0:04:18]-R[0:02:31]: Return=-67.00, Steps=22, Features = 105
31714: E[0:04:19]-R[0:02:29]: Return=-81.00, Steps=57, Features = 105
31982: E[0:04:21]-R[0:02:27]: Return=-73.00, Steps=143, Features = 105
32152: E[0:04:22]-R[0:02:25]: Return=-190.00, Steps=118, Features = 105
32320: E[0:04:23]-R[0:02:24]: Return=-88.00, Steps=54, Features = 105
32478: E[0:04:24]-R[0:02:23]: Return=-38.00, Steps=59, Features = 105
32643: E[0:04:26]-R[0:02:21]: Return=-85.00, Steps=19, Features = 105
32832: E[0:04:27]-R[0:02:20]: Return=-62.00, Steps=73, Features = 105
32971: E[0:04:28]-R[0:02:19]: Return=-123.00, Steps=60, Features = 105
33115: E[0:04:29]-R[0:02:17]: Return=-40.00, Steps=45, Features = 105
33214: E[0:04:30]-R[0:02:17]: Return=-92.00, Steps=25, Features = 105
33419: E[0:04:32]-R[0:02:15]: Return=-253.00, Steps=120, Features = 105
33552: E[0:04:33]-R[0:02:14]: Return=5.00, Steps=10, Features = 105
33683: E[0:04:34]-R[0:02:13]: Return=-66.00, Steps=18, Features = 105
33822: E[0:04:35]-R[0:02:12]: Return=-58.00, Steps=39, Features = 105
33904: E[0:04:37]-R[0:02:11]: Return=-110.00, Steps=82, Features = 105
34011: E[0:04:38]-R[0:02:11]: Return=-84.00, Steps=26, Features = 105
34153: E[0:04:39]-R[0:02:09]: Return=-102.00, Steps=24, Features = 105
34252: E[0:04:40]-R[0:02:09]: Return=2.00, Steps=20, Features = 105
34345: E[0:04:41]-R[0:02:08]: Return=-93.00, Steps=20, Features = 105
34514: E[0:04:42]-R[0:02:07]: Return=7.00, Steps=31, Features = 105
34601: E[0:04:43]-R[0:02:06]: Return=-57.00, Steps=14, Features = 105
34724: E[0:04:44]-R[0:02:05]: Return=-68.00, Steps=10, Features = 105
34890: E[0:04:45]-R[0:02:04]: Return=-90.00, Steps=23, Features = 107
35040: E[0:04:47]-R[0:02:02]: Return=-61.00, Steps=61, Features = 107
35212: E[0:04:48]-R[0:02:01]: Return=-74.00, Steps=24, Features = 108
35305: E[0:04:49]-R[0:02:00]: Return=-116.00, Steps=42, Features = 108
35392: E[0:04:50]-R[0:02:00]: Return=-8.00, Steps=16, Features = 108
35550: E[0:04:52]-R[0:01:59]: Return=-69.00, Steps=34, Features = 108
35706: E[0:04:53]-R[0:01:57]: Return=-78.00, Steps=30, Features = 109
35973: E[0:04:55]-R[0:01:55]: Return=-29.00, Steps=162, Features = 110
36127: E[0:04:56]-R[0:01:54]: Return=-66.00, Steps=20, Features = 110
